Timestamp,Command,Elapsed_Time_sec,CPU_Percent,Max_RSS_KB,User_Time_sec,System_Time_sec,Input_Size_MB,Output_Size_MB,Exit_Status
2025-11-21 23:55:28,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884685/SRR3884685_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884685/SRR3884685_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884685/SRR3884685_All_Smel_Genes_ref_guided_mapped.sam",194.68,1586,16508,2626.67,461.93,2934.38,9179.83,0
2025-11-21 23:59:22,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884677/SRR3884677_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884677/SRR3884677_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884677/SRR3884677_All_Smel_Genes_ref_guided_mapped.sam",198.49,1586,21540,2669.22,479.38,3080.80,9496.20,0
2025-11-22 00:03:21,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884675/SRR3884675_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884675/SRR3884675_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884675/SRR3884675_All_Smel_Genes_ref_guided_mapped.sam",273.67,1588,17512,3736.30,611.60,3463.64,10010.69,0
2025-11-22 00:08:36,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884690/SRR3884690_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884690/SRR3884690_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884690/SRR3884690_All_Smel_Genes_ref_guided_mapped.sam",139.73,1585,20588,1892.43,323.45,2235.30,6546.69,0
2025-11-22 00:11:24,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884689/SRR3884689_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884689/SRR3884689_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884689/SRR3884689_All_Smel_Genes_ref_guided_mapped.sam",144.91,1587,18536,1958.30,342.52,1718.94,6915.66,0
2025-11-22 00:14:15,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884684/SRR3884684_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884684/SRR3884684_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884684/SRR3884684_All_Smel_Genes_ref_guided_mapped.sam",205.94,1588,19536,2807.81,463.81,2541.08,7520.15,0
2025-11-22 00:18:12,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884686/SRR3884686_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884686/SRR3884686_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884686/SRR3884686_All_Smel_Genes_ref_guided_mapped.sam",179.27,1586,22680,2422.66,421.07,2789.90,8254.17,0
2025-11-22 00:21:50,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884687/SRR3884687_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884687/SRR3884687_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884687/SRR3884687_All_Smel_Genes_ref_guided_mapped.sam",115.96,1585,21580,1566.99,271.96,1830.79,5394.17,0
2025-11-22 00:24:10,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884597/SRR3884597_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884597/SRR3884597_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884597/SRR3884597_All_Smel_Genes_ref_guided_mapped.sam",184.28,1586,19512,2501.69,421.63,2910.19,8425.05,0
2025-11-22 00:27:51,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884679/SRR3884679_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884679/SRR3884679_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884679/SRR3884679_All_Smel_Genes_ref_guided_mapped.sam",163.16,1588,20540,2240.75,351.50,1985.42,5847.67,0
2025-11-22 00:31:02,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884608/SRR3884608_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884608/SRR3884608_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884608/SRR3884608_All_Smel_Genes_ref_guided_mapped.sam",318.03,1588,18592,4347.02,705.61,3975.17,11672.70,0
2025-11-22 00:37:23,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884620/SRR3884620_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884620/SRR3884620_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884620/SRR3884620_All_Smel_Genes_ref_guided_mapped.sam",194.96,1586,15476,2651.98,440.38,3078.23,8901.65,0
2025-11-22 00:41:16,"hisat2 -p 16 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR3884631/SRR3884631_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884631/SRR3884631_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884631/SRR3884631_All_Smel_Genes_ref_guided_mapped.sam",269.61,1588,19528,3685.92,597.90,3357.93,9767.66,0
