Timestamp,Command,Elapsed_Time_sec,CPU_Percent,Max_RSS_KB,User_Time_sec,System_Time_sec,Input_Size_MB,Output_Size_MB,Exit_Status
2025-11-14 01:00:50,"samtools index -@ 72 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/All_Smel_Genes/SRR2072",9.13,916,24644,74.40,9.29,0,0,0
2025-11-14 01:25:45,"samtools index -@ 32 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722234/SRR20722234_All_Smel_Genes_ref_guided_mapped_sorted.bam",7.91,876,10320,61.38,7.99,0,0,0
2025-11-14 01:31:15,"samtools index -@ 32 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR21010466/SRR21010466_All_Smel_Genes_ref_guided_mapped_sorted.bam",3.04,781,8304,20.39,3.36,0,0,0
2025-11-14 01:42:09,"samtools index -@ 32 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722233/SRR20722233_All_Smel_Genes_ref_guided_mapped_sorted.bam",5.1,1205,9284,55.39,6.15,0,0,0
2025-11-14 03:02:20,"samtools index -@ 64 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722234/SRR20722234_All_Smel_Genes_ref_guided_mapped_sorted.bam",6.39,1059,19512,59.79,7.92,0,0,0
2025-11-14 03:07:27,"samtools index -@ 64 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR21010466/SRR21010466_All_Smel_Genes_ref_guided_mapped_sorted.bam",2.44,808,19516,16.74,2.97,0,0,0
2025-11-14 03:18:33,"samtools index -@ 64 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722233/SRR20722233_All_Smel_Genes_ref_guided_mapped_sorted.bam",4.67,1085,20540,45.61,5.07,0,0,0
2025-11-14 03:39:13,"samtools index -@ 72 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722234/SRR20722234_All_Smel_Genes_ref_guided_mapped_sorted.bam",6.37,1030,22604,57.82,7.88,0,0,0
2025-11-14 03:44:21,"samtools index -@ 72 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR21010466/SRR21010466_All_Smel_Genes_ref_guided_mapped_sorted.bam",2.96,763,22664,19.46,3.15,0,0,0
2025-11-14 03:55:49,"samtools index -@ 72 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722233/SRR20722233_All_Smel_Genes_ref_guided_mapped_sorted.bam",4.53,1152,23604,46.58,5.68,0,0,0
2025-11-14 05:17:26,"samtools index -@ 64 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722234/SRR20722234_All_Smel_Genes_ref_guided_mapped_sorted.bam",0,100,3132,0.00,0.00,0,0,1
2025-11-21 23:59:03,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884685/SRR3884685_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.9,863,3184,14.32,2.08,0,0,0
2025-11-22 00:03:01,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884677/SRR3884677_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.84,895,5228,14.54,1.97,0,0,0
2025-11-22 00:08:14,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884675/SRR3884675_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.89,989,5220,16.47,2.23,0,0,0
2025-11-22 00:11:10,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884690/SRR3884690_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.12,988,5228,9.69,1.46,0,0,0
2025-11-22 00:14:02,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884689/SRR3884689_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.35,775,3148,9.02,1.48,0,0,0
2025-11-22 00:17:56,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884684/SRR3884684_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.44,1052,4212,13.46,1.76,0,0,0
2025-11-22 00:21:32,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884686/SRR3884686_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.68,1032,3136,15.34,2.05,0,0,0
2025-11-22 00:23:58,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884687/SRR3884687_All_Smel_Genes_ref_guided_mapped_sorted.bam",0.96,965,3196,8.17,1.13,0,0,0
2025-11-22 00:27:32,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884597/SRR3884597_All_Smel_Genes_ref_guided_mapped_sorted.bam",2.08,765,4192,13.79,2.14,0,0,0
2025-11-22 00:30:49,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884679/SRR3884679_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.15,919,5232,9.28,1.32,0,0,0
2025-11-22 00:36:57,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884608/SRR3884608_All_Smel_Genes_ref_guided_mapped_sorted.bam",2.44,877,5168,18.96,2.52,0,0,0
2025-11-22 00:40:57,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884620/SRR3884620_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.57,1018,4168,13.98,2.00,0,0,0
2025-11-22 00:46:07,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884631/SRR3884631_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.95,1027,4136,17.81,2.22,0,0,0
2025-11-22 00:51:25,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884642/SRR3884642_All_Smel_Genes_ref_guided_mapped_sorted.bam",2.02,1061,3212,18.89,2.61,0,0,0
2025-11-22 00:55:43,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884653/SRR3884653_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.66,1027,4156,15.21,1.88,0,0,0
2025-11-22 00:59:23,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884664/SRR3884664_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.64,967,5288,13.92,2.01,0,0,0
2025-11-22 01:03:24,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884680/SRR3884680_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.8,1070,4204,17.10,2.25,0,0,0
