Timestamp,Command,Elapsed_Time_sec,CPU_Percent,Max_RSS_KB,User_Time_sec,System_Time_sec,Input_Size_MB,Output_Size_MB,Exit_Status
2025-11-21 23:59:03,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884685/SRR3884685_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.9,863,3184,14.32,2.08,0,0,0
2025-11-22 00:03:01,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884677/SRR3884677_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.84,895,5228,14.54,1.97,0,0,0
2025-11-22 00:08:14,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884675/SRR3884675_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.89,989,5220,16.47,2.23,0,0,0
2025-11-22 00:11:10,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884690/SRR3884690_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.12,988,5228,9.69,1.46,0,0,0
2025-11-22 00:14:02,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884689/SRR3884689_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.35,775,3148,9.02,1.48,0,0,0
2025-11-22 00:17:56,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884684/SRR3884684_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.44,1052,4212,13.46,1.76,0,0,0
2025-11-22 00:21:32,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884686/SRR3884686_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.68,1032,3136,15.34,2.05,0,0,0
2025-11-22 00:23:58,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884687/SRR3884687_All_Smel_Genes_ref_guided_mapped_sorted.bam",0.96,965,3196,8.17,1.13,0,0,0
2025-11-22 00:27:32,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884597/SRR3884597_All_Smel_Genes_ref_guided_mapped_sorted.bam",2.08,765,4192,13.79,2.14,0,0,0
2025-11-22 00:30:49,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884679/SRR3884679_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.15,919,5232,9.28,1.32,0,0,0
2025-11-22 00:36:57,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884608/SRR3884608_All_Smel_Genes_ref_guided_mapped_sorted.bam",2.44,877,5168,18.96,2.52,0,0,0
2025-11-22 00:40:57,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884620/SRR3884620_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.57,1018,4168,13.98,2.00,0,0,0
2025-11-22 00:46:07,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884631/SRR3884631_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.95,1027,4136,17.81,2.22,0,0,0
2025-11-22 00:51:25,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884642/SRR3884642_All_Smel_Genes_ref_guided_mapped_sorted.bam",2.02,1061,3212,18.89,2.61,0,0,0
2025-11-22 00:55:43,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884653/SRR3884653_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.66,1027,4156,15.21,1.88,0,0,0
2025-11-22 00:59:23,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884664/SRR3884664_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.64,967,5288,13.92,2.01,0,0,0
2025-11-22 01:03:24,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884680/SRR3884680_All_Smel_Genes_ref_guided_mapped_sorted.bam",1.8,1070,4204,17.10,2.25,0,0,0
2025-11-22 01:08:22,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884681/SRR3884681_All_Smel_Genes_ref_guided_mapped_sorted.bam",2.2,1025,5236,19.74,2.87,0,0,0
2025-11-22 01:14:03,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR3884678/SRR3884678_All_Smel_Genes_ref_guided_mapped_sorted.bam",2.8,868,3188,21.41,2.90,0,0,0
2025-11-22 01:30:40,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722234/SRR20722234_All_Smel_Genes_ref_guided_mapped_sorted.bam",6.67,974,4148,57.01,8.03,0,0,0
2025-11-22 01:36:48,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR21010466/SRR21010466_All_Smel_Genes_ref_guided_mapped_sorted.bam",2.33,832,3176,16.32,3.08,0,0,0
2025-11-22 01:49:20,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722233/SRR20722233_All_Smel_Genes_ref_guided_mapped_sorted.bam",5.6,1116,3148,55.88,6.71,0,0,0
2025-11-22 02:06:38,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722387/SRR20722387_All_Smel_Genes_ref_guided_mapped_sorted.bam",6.18,1151,5220,63.80,7.47,0,0,0
2025-11-22 02:14:56,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR23909863/SRR23909863_All_Smel_Genes_ref_guided_mapped_sorted.bam",2.93,826,6228,20.28,4.00,0,0,0
2025-11-22 02:31:06,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722297/SRR20722297_All_Smel_Genes_ref_guided_mapped_sorted.bam",6.49,1058,4208,60.73,8.00,0,0,0
2025-11-22 02:40:22,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722296/SRR20722296_All_Smel_Genes_ref_guided_mapped_sorted.bam",3.15,922,4260,25.26,3.86,0,0,0
2025-11-22 02:57:47,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722384/SRR20722384_All_Smel_Genes_ref_guided_mapped_sorted.bam",6.06,1119,5212,59.80,8.04,0,0,0
2025-11-22 03:05:34,"samtools index -@ 16 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR31755282/SRR31755282_All_Smel_Genes_ref_guided_mapped_sorted.bam",3.43,748,4212,22.46,3.24,0,0,0
2025-11-22 03:21:43,"samtools index -@ 16 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/All_Smel_Genes/SRR3884685/SRR3884685_All_Smel_Genes_trimmed_mapped_sorted.bam",1.9,906,4160,15.14,2.11,0,0,0
